t,tick,n,rate,evt_rate,drop,ap_hz,pos_mm,vel_mm_s,wire10,wire12,d_tick
71.11,160296716,169271,13.054411224610481,328.15336855899835,1181908,530.0,65.984375,-1.953125,1.0,526.125,706
72.11,160306687,169285,14.293078889078208,337.2084060160887,1182048,515.0,63.314453125,-0.47637195121951226,1.0,515.53125,700
73.13,160316735,169299,12.971445713455122,334.33680689908283,1182183,492.0,60.79296875,-1.953125,1.0,497.65625,769
74.15,160326914,169313,14.665347323960406,330.0989449284704,1182241,60.0,58.8671875,-0.887784090909091,1.0,0.0,681
75.17,160337649,169325,20.96229658950062,257.38254478815435,1182288,60.0,59.154296875,0.9765625,1.0,60.0,476
76.2,160347325,169338,19.01549146994419,330.8344970834257,1182301,60.0,59.423828125,0.9765625,1.0,60.0,522
77.23,160357889,169352,13.537305580748338,318.1708291397044,1182412,480.0,60.451171875,1.953125,1.0,483.046875,799
78.23,160367919,169366,10.684083296185442,328.26596023454255,1182550,458.0,62.900390625,1.953125,1.0,466.71875,730
79.25,160377857,169380,19.291251954741973,328.26596023454255,1182688,445.0,65.115234375,0.7659313725490197,1.0,447.96875,518
80.26,160388357,169391,13.352170605069892,344.63046388813694,1182925,528.0,65.552734375,-1.953125,1.0,440.3125,688
81.27,160398418,169404,11.588235781679536,246.34294310622303,1183059,511.0,62.994140625,-1.953125,1.0,515.3125,864
82.29,160408701,169418,18.952594835182214,320.54298463866854,1183208,487.0,60.328125,-2.663352272727273,1.0,493.125,529
83.29,160418421,169431,13.225819064736859,318.40114736697984,1183233,60.0,58.9375,0.6300403225806451,1.0,60.0,696
84.29,160428882,169445,12.521880355149003,324.085430798928,1183233,60.0,59.248046875,1.3316761363636365,1.0,60.0,799
85.32,160438395,169456,13.150432045349085,333.4060757011698,1183233,60.0,59.498046875,0.8138020833333334,1.0,60.0,702
86.33,160449306,169472,19.332866256130387,261.94437903501097,1183293,478.0,60.771484375,3.90625,1.0,482.8125,579
87.34,160458554,169485,13.97910285594302,373.230231826837,1183417,465.0,62.80078125,1.953125,1.0,465.03125,716
88.36,160469264,169499,11.151060124689273,324.4726189431892,1183552,443.0,65.25,1.6276041666666667,1.0,449.0,899
89.36,160478666,169511,10.843038105578822,303.6773529710711,1183680,526.0,65.48046875,-3.90625,1.0,528.0625,849
